case_id,slot,application,cpu,compute,secondary,memory,units,preprocessing,target,host_required,accel_required,concurrent,effective_bw,headroom,adequacy,stability,critical_overlap
dual-015,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,4,isp_assisted,20,0.0,8.821,8.821,142.716,133.895,PASS,Stable PASS,
dual-016,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,4,isp_assisted,20,0.0,8.821,8.821,146.074,137.252,PASS,Stable PASS,
StablePASS-009,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,4,isp_and_npu,20,0.0,8.821,8.821,147.456,138.635,PASS,Stable PASS,
dual-017,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,4,isp_and_npu,20,0.0,8.821,8.821,142.715,133.894,PASS,Stable PASS,
dual-018,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,4,isp_and_npu,20,0.0,8.821,8.821,146.073,137.252,PASS,Stable PASS,
StablePASS-010,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,8,cpu_only,20,0.115,8.821,8.936,294.912,285.976,PASS,Stable PASS,
dual-019,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,8,cpu_only,20,0.115,8.821,8.936,285.433,276.497,PASS,Stable PASS,
dual-020,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,8,cpu_only,20,0.115,8.821,8.936,292.147,283.211,PASS,Stable PASS,
StablePASS-011,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,8,isp_assisted,20,0.0,8.821,8.821,294.912,286.091,PASS,Stable PASS,
dual-021,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,8,isp_assisted,20,0.0,8.821,8.821,285.433,276.612,PASS,Stable PASS,
dual-022,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,8,isp_assisted,20,0.0,8.821,8.821,292.147,283.326,PASS,Stable PASS,
StablePASS-012,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5,8,isp_and_npu,20,0.0,8.821,8.821,294.912,286.091,PASS,Stable PASS,
dual-023,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR5,8,isp_and_npu,20,0.0,8.821,8.821,285.43,276.609,PASS,Stable PASS,
dual-024,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR5,8,isp_and_npu,20,0.0,8.821,8.821,292.146,283.325,PASS,Stable PASS,
StablePASS-013,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,1,cpu_only,20,0.115,8.821,8.936,17.408,8.472,PASS,Stable PASS,
dual-025,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR4,1,cpu_only,20,0.115,8.821,8.936,16.848,7.913,PASS,Stable PASS,
dual-026,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR4,1,cpu_only,20,0.115,8.821,8.936,17.245,8.309,PASS,Stable PASS,
StablePASS-014,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,1,isp_assisted,20,0.0,8.821,8.821,17.408,8.587,PASS,Stable PASS,
dual-027,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR4,1,isp_assisted,20,0.0,8.821,8.821,16.848,8.027,PASS,Stable PASS,
dual-028,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR4,1,isp_assisted,20,0.0,8.821,8.821,17.245,8.424,PASS,Stable PASS,
StablePASS-015,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,1,isp_and_npu,20,0.0,8.821,8.821,17.408,8.587,PASS,Stable PASS,
dual-029,dual,drone,cortex_a53_x4,npu_16x16,npu_32x32,LPDDR4,1,isp_and_npu,20,0.0,8.821,8.821,16.848,8.027,PASS,Stable PASS,
dual-030,dual,drone,cortex_a53_x4,npu_16x16,npu_64x64,LPDDR4,1,isp_and_npu,20,0.0,8.821,8.821,17.245,8.424,PASS,Stable PASS,
StablePASS-016,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,2,cpu_only,20,0.115,8.821,8.936,34.816,25.88,PASS,Stable PASS,
StablePASS-017,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,2,isp_assisted,20,0.0,8.821,8.821,34.816,25.995,PASS,Stable PASS,
StablePASS-018,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,2,isp_and_npu,20,0.0,8.821,8.821,34.816,25.995,PASS,Stable PASS,
StablePASS-019,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,4,cpu_only,20,0.115,8.821,8.936,69.632,60.696,PASS,Stable PASS,
StablePASS-020,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,4,isp_assisted,20,0.0,8.821,8.821,69.632,60.811,PASS,Stable PASS,
StablePASS-021,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,4,isp_and_npu,20,0.0,8.821,8.821,69.632,60.811,PASS,Stable PASS,
StablePASS-022,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,8,cpu_only,20,0.115,8.821,8.936,139.264,130.328,PASS,Stable PASS,
StablePASS-023,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,8,isp_assisted,20,0.0,8.821,8.821,139.264,130.443,PASS,Stable PASS,
StablePASS-024,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4,8,isp_and_npu,20,0.0,8.821,8.821,139.264,130.443,PASS,Stable PASS,
StablePASS-025,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,1,cpu_only,20,0.115,8.821,8.936,17.408,8.472,PASS,Stable PASS,
StablePASS-026,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,1,isp_assisted,20,0.0,8.821,8.821,17.408,8.587,PASS,Stable PASS,
StablePASS-027,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,1,isp_and_npu,20,0.0,8.821,8.821,17.408,8.587,PASS,Stable PASS,
StablePASS-028,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,2,cpu_only,20,0.115,8.821,8.936,34.816,25.88,PASS,Stable PASS,
StablePASS-029,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,2,isp_assisted,20,0.0,8.821,8.821,34.816,25.995,PASS,Stable PASS,
StablePASS-030,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,2,isp_and_npu,20,0.0,8.821,8.821,34.816,25.995,PASS,Stable PASS,
StablePASS-031,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,4,cpu_only,20,0.115,8.821,8.936,69.632,60.696,PASS,Stable PASS,
StablePASS-032,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,4,isp_assisted,20,0.0,8.821,8.821,69.632,60.811,PASS,Stable PASS,
StablePASS-033,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,4,isp_and_npu,20,0.0,8.821,8.821,69.632,60.811,PASS,Stable PASS,
StablePASS-034,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,8,cpu_only,20,0.115,8.821,8.936,139.264,130.328,PASS,Stable PASS,
StablePASS-035,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,8,isp_assisted,20,0.0,8.821,8.821,139.264,130.443,PASS,Stable PASS,
StablePASS-036,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR4,8,isp_and_npu,20,0.0,8.821,8.821,139.264,130.443,PASS,Stable PASS,
StablePASS-037,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,1,cpu_only,20,0.115,8.821,8.936,23.895,14.959,PASS,Stable PASS,
StablePASS-038,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,1,isp_assisted,20,0.0,8.821,8.821,23.895,15.074,PASS,Stable PASS,
StablePASS-039,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,1,isp_and_npu,20,0.0,8.821,8.821,23.895,15.074,PASS,Stable PASS,
StablePASS-040,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,2,cpu_only,20,0.115,8.821,8.936,47.79,38.855,PASS,Stable PASS,
StablePASS-041,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,2,isp_assisted,20,0.0,8.821,8.821,47.79,38.969,PASS,Stable PASS,
StablePASS-042,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,2,isp_and_npu,20,0.0,8.821,8.821,47.79,38.969,PASS,Stable PASS,
StablePASS-043,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,4,cpu_only,20,0.115,8.821,8.936,95.581,86.645,PASS,Stable PASS,
StablePASS-044,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,4,isp_assisted,20,0.0,8.821,8.821,95.581,86.76,PASS,Stable PASS,
StablePASS-045,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,4,isp_and_npu,20,0.0,8.821,8.821,95.581,86.76,PASS,Stable PASS,
StablePASS-046,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,8,cpu_only,20,0.115,8.821,8.936,191.162,182.226,PASS,Stable PASS,
StablePASS-047,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,8,isp_assisted,20,0.0,8.821,8.821,191.162,182.34,PASS,Stable PASS,
StablePASS-048,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR4X,8,isp_and_npu,20,0.0,8.821,8.821,191.162,182.34,PASS,Stable PASS,
StablePASS-049,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,1,cpu_only,20,0.115,8.821,8.936,49.15,40.214,PASS,Stable PASS,
StablePASS-050,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,1,isp_assisted,20,0.0,8.821,8.821,49.15,40.329,PASS,Stable PASS,
StablePASS-051,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,1,isp_and_npu,20,0.0,8.821,8.821,49.15,40.329,PASS,Stable PASS,
StablePASS-052,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,2,cpu_only,20,0.115,8.821,8.936,98.3,89.364,PASS,Stable PASS,
StablePASS-053,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,2,isp_assisted,20,0.0,8.821,8.821,98.3,89.479,PASS,Stable PASS,
StablePASS-054,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,2,isp_and_npu,20,0.0,8.821,8.821,98.3,89.479,PASS,Stable PASS,
StablePASS-055,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,4,cpu_only,20,0.115,8.821,8.936,196.6,187.664,PASS,Stable PASS,
StablePASS-056,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,4,isp_assisted,20,0.0,8.821,8.821,196.6,187.779,PASS,Stable PASS,
StablePASS-057,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,4,isp_and_npu,20,0.0,8.821,8.821,196.6,187.779,PASS,Stable PASS,
StablePASS-058,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,8,cpu_only,20,0.115,8.821,8.936,393.201,384.265,PASS,Stable PASS,
StablePASS-059,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,8,isp_assisted,20,0.0,8.821,8.821,393.201,384.379,PASS,Stable PASS,
StablePASS-060,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,LPDDR5X,8,isp_and_npu,20,0.0,8.821,8.821,393.201,384.379,PASS,Stable PASS,
StablePASS-061,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,1,cpu_only,20,0.115,8.821,8.936,26.88,17.944,PASS,Stable PASS,
StablePASS-062,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,1,isp_assisted,20,0.0,8.821,8.821,26.88,18.059,PASS,Stable PASS,
StablePASS-063,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,1,isp_and_npu,20,0.0,8.821,8.821,26.88,18.059,PASS,Stable PASS,
StablePASS-064,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,2,cpu_only,20,0.115,8.821,8.936,53.76,44.824,PASS,Stable PASS,
StablePASS-065,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,2,isp_assisted,20,0.0,8.821,8.821,53.76,44.939,PASS,Stable PASS,
StablePASS-066,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,2,isp_and_npu,20,0.0,8.821,8.821,53.76,44.939,PASS,Stable PASS,
StablePASS-067,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,4,cpu_only,20,0.115,8.821,8.936,107.52,98.584,PASS,Stable PASS,
StablePASS-068,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,4,isp_assisted,20,0.0,8.821,8.821,107.52,98.699,PASS,Stable PASS,
StablePASS-069,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,4,isp_and_npu,20,0.0,8.821,8.821,107.52,98.699,PASS,Stable PASS,
StablePASS-070,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,8,cpu_only,20,0.115,8.821,8.936,215.04,206.104,PASS,Stable PASS,
StablePASS-071,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,8,isp_assisted,20,0.0,8.821,8.821,215.04,206.219,PASS,Stable PASS,
StablePASS-072,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,DDR5,8,isp_and_npu,20,0.0,8.821,8.821,215.04,206.219,PASS,Stable PASS,
StablePASS-073,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,1,cpu_only,20,0.115,8.821,8.936,51.2,42.264,PASS,Stable PASS,
StablePASS-074,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,1,isp_assisted,20,0.0,8.821,8.821,51.2,42.379,PASS,Stable PASS,
StablePASS-075,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,1,isp_and_npu,20,0.0,8.821,8.821,51.2,42.379,PASS,Stable PASS,
StablePASS-076,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,2,cpu_only,20,0.115,8.821,8.936,102.4,93.464,PASS,Stable PASS,
StablePASS-077,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,2,isp_assisted,20,0.0,8.821,8.821,102.4,93.579,PASS,Stable PASS,
StablePASS-078,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,2,isp_and_npu,20,0.0,8.821,8.821,102.4,93.579,PASS,Stable PASS,
StablePASS-079,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,4,cpu_only,20,0.115,8.821,8.936,204.8,195.864,PASS,Stable PASS,
StablePASS-080,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,4,isp_assisted,20,0.0,8.821,8.821,204.8,195.979,PASS,Stable PASS,
StablePASS-081,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,4,isp_and_npu,20,0.0,8.821,8.821,204.8,195.979,PASS,Stable PASS,
StablePASS-082,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,8,cpu_only,20,0.115,8.821,8.936,409.6,400.664,PASS,Stable PASS,
StablePASS-083,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,8,isp_assisted,20,0.0,8.821,8.821,409.6,400.779,PASS,Stable PASS,
StablePASS-084,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,GDDR6,8,isp_and_npu,20,0.0,8.821,8.821,409.6,400.779,PASS,Stable PASS,
StablePASS-085,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,HBM2E,1,cpu_only,20,0.115,8.821,8.936,348.16,339.224,PASS,Stable PASS,
StablePASS-086,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,HBM2E,1,isp_assisted,20,0.0,8.821,8.821,348.16,339.339,PASS,Stable PASS,
StablePASS-087,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,HBM2E,1,isp_and_npu,20,0.0,8.821,8.821,348.16,339.339,PASS,Stable PASS,
StablePASS-088,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,HBM2E,2,cpu_only,20,0.115,8.821,8.936,696.32,687.384,PASS,Stable PASS,
StablePASS-089,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,HBM2E,2,isp_assisted,20,0.0,8.821,8.821,696.32,687.499,PASS,Stable PASS,
StablePASS-090,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,HBM2E,2,isp_and_npu,20,0.0,8.821,8.821,696.32,687.499,PASS,Stable PASS,
StablePASS-091,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,HBM2E,4,cpu_only,20,0.115,8.821,8.936,1392.64,1383.704,PASS,Stable PASS,
StablePASS-092,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,HBM2E,4,isp_assisted,20,0.0,8.821,8.821,1392.64,1383.819,PASS,Stable PASS,
StablePASS-093,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,HBM2E,4,isp_and_npu,20,0.0,8.821,8.821,1392.64,1383.819,PASS,Stable PASS,
StablePASS-094,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,HBM2E,8,cpu_only,20,0.115,8.821,8.936,2785.28,2776.344,PASS,Stable PASS,
StablePASS-095,Stable PASS,drone,cortex_a53_x4,npu_16x16,-,HBM2E,8,isp_assisted,20,0.0,8.821,8.821,2785.28,2776.459,PASS,Stable PASS,
StableFAIL-001,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR5,1,cpu_only,20,0.115,39.695,39.81,36.864,-2.946,FAIL,Stable FAIL,
StableFAIL-002,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR5,1,isp_assisted,20,0.0,39.695,39.695,36.864,-2.831,FAIL,Stable FAIL,
StableFAIL-003,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR5,1,isp_and_npu,20,0.0,39.695,39.695,36.864,-2.831,FAIL,Stable FAIL,
StableFAIL-004,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR4,1,cpu_only,20,0.115,39.695,39.81,17.408,-22.402,FAIL,Stable FAIL,
StableFAIL-005,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR4,1,isp_assisted,20,0.0,39.695,39.695,17.408,-22.287,FAIL,Stable FAIL,
StableFAIL-006,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR4,1,isp_and_npu,20,0.0,39.695,39.695,17.408,-22.287,FAIL,Stable FAIL,
StableFAIL-007,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR4,2,cpu_only,20,0.115,39.695,39.81,34.816,-4.994,FAIL,Stable FAIL,
StableFAIL-008,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR4,2,isp_assisted,20,0.0,39.695,39.695,34.816,-4.879,FAIL,Stable FAIL,
StableFAIL-009,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR4,2,isp_and_npu,20,0.0,39.695,39.695,34.816,-4.879,FAIL,Stable FAIL,
StableFAIL-010,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,DDR4,1,cpu_only,20,0.115,39.695,39.81,17.408,-22.402,FAIL,Stable FAIL,
StableFAIL-011,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,DDR4,1,isp_assisted,20,0.0,39.695,39.695,17.408,-22.287,FAIL,Stable FAIL,
StableFAIL-012,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,DDR4,1,isp_and_npu,20,0.0,39.695,39.695,17.408,-22.287,FAIL,Stable FAIL,
StableFAIL-013,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,DDR4,2,cpu_only,20,0.115,39.695,39.81,34.816,-4.994,FAIL,Stable FAIL,
StableFAIL-014,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,DDR4,2,isp_assisted,20,0.0,39.695,39.695,34.816,-4.879,FAIL,Stable FAIL,
StableFAIL-015,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,DDR4,2,isp_and_npu,20,0.0,39.695,39.695,34.816,-4.879,FAIL,Stable FAIL,
StableFAIL-016,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR4X,1,cpu_only,20,0.115,39.695,39.81,23.895,-15.915,FAIL,Stable FAIL,
StableFAIL-017,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR4X,1,isp_assisted,20,0.0,39.695,39.695,23.895,-15.8,FAIL,Stable FAIL,
StableFAIL-018,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,LPDDR4X,1,isp_and_npu,20,0.0,39.695,39.695,23.895,-15.8,FAIL,Stable FAIL,
StableFAIL-019,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,DDR5,1,cpu_only,20,0.115,39.695,39.81,26.88,-12.93,FAIL,Stable FAIL,
StableFAIL-020,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,DDR5,1,isp_assisted,20,0.0,39.695,39.695,26.88,-12.815,FAIL,Stable FAIL,
StableFAIL-021,Stable FAIL,drone,cortex_a53_x4,cpu_only,-,DDR5,1,isp_and_npu,20,0.0,39.695,39.695,26.88,-12.815,FAIL,Stable FAIL,
StableFAIL-022,Stable FAIL,autonomous_vehicle,cortex_a53_x4,npu_16x16,-,LPDDR5,1,cpu_only,20,1.033,182.6,183.633,36.864,-146.769,FAIL,Stable FAIL,
StableFAIL-023,Stable FAIL,autonomous_vehicle,cortex_a53_x4,npu_16x16,-,LPDDR5,1,isp_assisted,20,0.0,182.6,182.6,36.864,-145.736,FAIL,Stable FAIL,
StableFAIL-024,Stable FAIL,autonomous_vehicle,cortex_a53_x4,npu_16x16,-,LPDDR5,1,isp_and_npu,20,0.0,182.6,182.6,36.864,-145.736,FAIL,Stable FAIL,
StableFAIL-025,Stable FAIL,autonomous_vehicle,cortex_a53_x4,npu_16x16,-,LPDDR5,2,cpu_only,20,1.033,182.6,183.633,73.728,-109.905,FAIL,Stable FAIL,
StableFAIL-026,Stable FAIL,autonomous_vehicle,cortex_a53_x4,npu_16x16,-,LPDDR5,2,isp_assisted,20,0.0,182.6,182.6,73.728,-108.872,FAIL,Stable FAIL,
StableFAIL-027,Stable FAIL,autonomous_vehicle,cortex_a53_x4,npu_16x16,-,LPDDR5,2,isp_and_npu,20,0.0,182.6,182.6,73.728,-108.872,FAIL,Stable FAIL,
StableFAIL-028,Stable FAIL,autonomous_vehicle,cortex_a53_x4,npu_16x16,-,LPDDR5,4,cpu_only,20,1.033,182.6,183.633,147.456,-36.177,FAIL,Stable FAIL,
StableFAIL-029,Stable FAIL,autonomous_vehicle,cortex_a53_x4,npu_16x16,-,LPDDR5,4,isp_assisted,20,0.0,182.6,182.6,147.456,-35.144,FAIL,Stable FAIL,
StableFAIL-030,Stable FAIL,autonomous_vehicle,cortex_a53_x4,npu_16x16,-,LPDDR5,4,isp_and_npu,20,0.0,182.6,182.6,147.456,-35.144,FAIL,Stable FAIL,
StableFAIL-031,Stable FAIL,autonomous_vehicle,cortex_a53_x4,npu_16x16,-,LPDDR4,1,cpu_only,20,1.033,182.6,183.633,17.408,-166.225,FAIL,Stable FAIL,
StableFAIL-032,Stable FAIL,autonomous_vehicle,cortex_a53_x4,npu_16x16,-,LPDDR4,1,isp_assisted,20,0.0,182.6,182.6,17.408,-165.192,FAIL,Stable FAIL,
